name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
forex_short_breakdown_momentum__15m_europe,Forex short breakdown momentum [15m_europe],single,-721.61321,44,38.63636,0.97878,10.44596,22.00000,-16.40030,1957.47644,-1259.21158,1.55453,116.36364,trailing_stop,27.27273,1,0.00000,0.00000,trend_flat_vol_mid,2708.28136,trend_flat_vol_high,-4111.90936,77.27273,,2,50.00000,15661.16272,25557.88125,3.04325,6.39546,-7052.19641,-378.85137,0.97940,15,-2023.48281,0.88889,17,artifacts\usdjpy_forex_short_breakdown_momentum__15m_europe_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_breakdown_momentum__15m_europe_15m_europe_symbol_candidate_analysis.txt
forex_trend_continuation__15m_europe__exit_trend,Forex trend continuation [15m_europe] with trend-runner exits,entry_exit_family,-1981.44373,7,14.28571,0.45509,2.46969,3.50000,-283.06339,1654.85956,-606.05055,2.73056,3.85714,trailing_stop,42.85714,1,0.00000,0.00000,trend_up_vol_low,-294.18163,trend_flat_vol_mid,-1206.01492,71.42857,,2,0.00000,-1136.19384,-44.93722,0.00000,1.07981,-1403.32012,-1066.37277,0.00000,2,488.24916,1.41852,2,artifacts\usdjpy_forex_trend_continuation__15m_europe__exit_trend_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_trend_continuation__15m_europe__exit_trend_15m_europe_symbol_candidate_analysis.txt
forex_trend_continuation__15m_europe__exit_fastfail,Forex trend continuation [15m_europe] with fast-fail exits,entry_exit_family,-2571.42326,7,14.28571,0.29285,2.57142,3.50000,-367.34618,1064.88004,-606.05055,1.75708,3.28571,structure_exit,42.85714,1,0.00000,0.00000,trend_up_vol_low,-294.18163,trend_flat_vol_mid,-1206.01492,71.42857,,2,0.00000,-1136.19384,-634.91675,0.00000,0.69484,-1403.32012,-1066.37277,0.00000,2,-101.73037,0.91280,2,artifacts\usdjpy_forex_trend_continuation__15m_europe__exit_fastfail_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_trend_continuation__15m_europe__exit_fastfail_15m_europe_symbol_candidate_analysis.txt
forex_range_reversion__15m_europe__exit_quick,Forex range reversion [15m_europe] with quick-fail mean reversion exits,entry_exit_family,-973.72384,5,20.00000,0.15886,0.97372,2.50000,-194.74477,183.89520,-289.40476,0.63543,2.00000,structure_exit,60.00000,1,0.00000,0.00000,trend_flat_vol_low,-973.72384,trend_flat_vol_low,-973.72384,100.00000,,2,0.00000,-19.23004,-214.54392,499.50000,0.00000,-544.63601,-222.35528,0.00000,1,-206.73255,0.00000,1,artifacts\usdjpy_forex_range_reversion__15m_europe__exit_quick_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_range_reversion__15m_europe__exit_quick_15m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__15m_europe__exit_trend,Forex breakout momentum [15m_europe] with trend-runner exits,entry_exit_family,51768.01971,33,30.30303,2.87183,10.48632,16.50000,1568.72787,7942.44078,-1202.45166,6.60521,120.24242,trailing_stop,33.33333,1,0.00000,0.00000,trend_flat_vol_low,55438.24340,trend_flat_vol_mid,-3670.22369,75.75758,,2,0.00000,3938.02152,-827.17084,1.33348,0.81128,-3674.08294,13955.86702,2.28135,10,-3126.62581,0.49291,8,artifacts\usdjpy_forex_breakout_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_breakout_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_analysis.txt
forex_breakout_momentum__15m_europe__exit_fastfail,Forex breakout momentum [15m_europe] with fast-fail exits,entry_exit_family,52002.98643,35,31.42857,2.75709,10.37136,17.50000,1485.79961,7418.09843,-1233.17068,6.01547,105.60000,trailing_stop,31.42857,1,0.00000,0.00000,trend_flat_vol_mid,62914.91314,trend_flat_vol_low,-10911.92671,74.28571,,2,0.00000,-9113.48891,-1627.14308,0.23903,0.70495,-6833.97328,-10017.22775,0.24243,11,-4666.57237,0.24315,8,artifacts\usdjpy_forex_breakout_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_breakout_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_analysis.txt
forex_short_trend_continuation__15m_europe__exit_trend,Forex short trend continuation [15m_europe] with trend-runner exits,entry_exit_family,-3971.53555,5,20.00000,0.12136,3.97154,2.50000,-794.30711,548.54246,-1130.01950,0.48543,5.00000,signal_exit,40.00000,1,0.00000,0.00000,trend_flat_vol_low,-3971.53555,trend_flat_vol_low,-3971.53555,100.00000,,2,0.00000,-1095.78381,0.00000,0.00000,0.00000,-2911.49877,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\usdjpy_forex_short_trend_continuation__15m_europe__exit_trend_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_trend_continuation__15m_europe__exit_trend_15m_europe_symbol_candidate_analysis.txt
forex_short_trend_continuation__15m_europe__exit_fastfail,Forex short trend continuation [15m_europe] with fast-fail exits,entry_exit_family,-2651.58136,5,20.00000,0.17141,2.65158,2.50000,-530.31627,548.54246,-800.03095,0.68565,2.80000,structure_exit,60.00000,1,0.00000,0.00000,trend_flat_vol_low,-2651.58136,trend_flat_vol_low,-2651.58136,100.00000,,2,0.00000,-1095.78381,0.00000,0.00000,0.00000,-1591.54457,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\usdjpy_forex_short_trend_continuation__15m_europe__exit_fastfail_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_trend_continuation__15m_europe__exit_fastfail_15m_europe_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_europe__exit_trend,Forex short breakdown momentum [15m_europe] with trend-runner exits,entry_exit_family,-5341.55145,44,36.36364,0.86374,14.04197,22.25000,-121.39890,2116.20456,-1400.02944,1.51154,10.31818,stop_loss,29.54545,1,0.00000,0.00000,trend_flat_vol_low,1677.71010,trend_flat_vol_high,-4111.90936,77.27273,,2,50.00000,16331.12871,23451.61773,3.27644,6.04026,-1662.48201,-1458.80834,0.92558,15,-7106.04005,0.00000,3,artifacts\usdjpy_forex_short_breakdown_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_breakdown_momentum__15m_europe__exit_trend_15m_europe_symbol_candidate_analysis.txt
forex_short_breakdown_momentum__15m_europe__exit_fastfail,Forex short breakdown momentum [15m_europe] with fast-fail exits,entry_exit_family,-9935.66561,38,31.57895,0.65912,10.57653,19.25000,-261.46488,1600.95886,-1121.04507,1.42809,5.36842,structure_exit,31.57895,1,0.00000,0.00000,trend_flat_vol_mid,2538.25464,trend_flat_vol_low,-8562.01784,76.31579,,2,50.00000,16601.08637,23272.84499,3.06996,4.97533,-8164.09092,1610.98310,1.10457,15,-4263.47448,0.76442,17,artifacts\usdjpy_forex_short_breakdown_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_trades.csv,artifacts\usdjpy_forex_short_breakdown_momentum__15m_europe__exit_fastfail_15m_europe_symbol_candidate_analysis.txt
forex_trend_continuation__15m_us,Forex trend continuation [15m_us],single,-1273.44859,4,25.00000,0.61445,1.27345,2.00000,-318.36215,2029.53423,-1100.99427,1.84336,5.00000,stop_loss,50.00000,1,0.00000,0.00000,trend_flat_vol_low,-1273.44859,trend_flat_vol_low,-1273.44859,100.00000,,2,0.00000,-1284.95166,-558.32585,0.00000,0.00000,0.00000,-1284.95166,0.00000,1,-1116.65170,0.00000,1,artifacts\usdjpy_forex_trend_continuation__15m_us_15m_us_symbol_candidate_trades.csv,artifacts\usdjpy_forex_trend_continuation__15m_us_15m_us_symbol_candidate_analysis.txt
forex_range_reversion__15m_us,Forex range reversion [15m_us],single,-4437.03925,10,20.00000,0.35690,4.43704,5.00000,-443.70392,1231.22698,-862.43665,1.42761,3.90000,signal_exit,60.00000,1,0.00000,0.00000,trend_flat_vol_mid,-616.79578,trend_flat_vol_low,-3820.24347,80.00000,,2,0.00000,-636.56793,-1310.39081,0.63866,0.41623,-1186.87677,-1793.20512,0.00000,1,-155.61884,0.83246,4,artifacts\usdjpy_forex_range_reversion__15m_us_15m_us_symbol_candidate_trades.csv,artifacts\usdjpy_forex_range_reversion__15m_us_15m_us_symbol_candidate_analysis.txt
