name,description,archetype,realized_pnl,closed_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_costs,expectancy,avg_win,avg_loss,payoff_ratio,avg_hold_bars,dominant_exit,dominant_exit_share_pct,component_count,combo_outperformance_score,combo_trade_overlap_pct,best_regime,best_regime_pnl,worst_regime,worst_regime_pnl,dominant_regime_share_pct,regime_filter_label,walk_forward_windows,walk_forward_pass_rate_pct,walk_forward_avg_validation_pnl,walk_forward_avg_test_pnl,walk_forward_avg_validation_pf,walk_forward_avg_test_pf,train_pnl,validation_pnl,validation_profit_factor,validation_closed_trades,test_pnl,test_profit_factor,test_closed_trades,trade_log_path,trade_analysis_path
crypto_volatility_expansion__5m_europe__exit_fastfail,Crypto volatility expansion [5m_europe] with fast-fail exits,entry_exit_family,-56.36505,8,12.50000,0.75956,0.11453,15.23100,-7.04563,178.05492,-33.48857,5.31689,14.12500,stale_breakout,50.00000,1,0.00000,0.00000,trend_up_vol_high,-56.36505,trend_up_vol_high,-56.36505,100.00000,,2,0.00000,-43.57147,-2.42656,0.00000,0.00000,2.07495,0.00000,0.00000,0,-4.85312,0.00000,1,artifacts\btc_crypto_volatility_expansion__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_expansion__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
crypto_volatility_breakout__5m_europe__exit_trend,24/7 crypto volatility breakout [5m_europe] with trend-runner exits,entry_exit_family,169.53089,17,17.64706,1.73543,0.12813,32.40072,9.97241,133.35054,-16.46577,8.09865,9.70588,signal_exit,58.82353,1,0.00000,0.00000,trend_up_vol_high,289.12036,trend_up_vol_mid,-61.84866,47.05882,,2,0.00000,-25.13033,203.74106,499.51883,502.89241,7.01148,2.04668,999.00000,1,187.53210,6.78483,3,artifacts\btc_crypto_volatility_breakout__5m_europe__exit_trend_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_breakout__5m_europe__exit_trend_5m_europe_symbol_candidate_analysis.txt
crypto_volatility_breakout__5m_europe__exit_fastfail,24/7 crypto volatility breakout [5m_europe] with fast-fail exits,entry_exit_family,-127.70692,17,5.88235,0.58233,0.14390,32.37100,-7.51217,178.05492,-19.11011,9.31731,9.00000,signal_exit,52.94118,1,0.00000,0.00000,trend_up_vol_high,-8.11745,trend_up_vol_mid,-61.84866,47.05882,,2,0.00000,-53.18491,-46.86574,0.00000,0.00000,-35.36580,-4.81926,0.00000,1,-63.07470,0.00000,3,artifacts\btc_crypto_volatility_breakout__5m_europe__exit_fastfail_5m_europe_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_breakout__5m_europe__exit_fastfail_5m_europe_symbol_candidate_analysis.txt
crypto_trend_pullback__5m_us,Crypto trend pullback continuation [5m_us],single,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\btc_crypto_trend_pullback__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\btc_crypto_trend_pullback__5m_us_5m_us_symbol_candidate_analysis.txt
crypto_breakout_reclaim__5m_us,Crypto breakout reclaim [5m_us],single,-66.92778,7,57.14286,0.34526,0.11384,13.71992,-9.56111,8.82330,-34.07366,0.25895,8.71429,trailing_stop,85.71429,1,0.00000,0.00000,trend_up_vol_mid,29.30211,trend_up_vol_high,-96.22989,57.14286,,2,0.00000,-7.36770,-27.96341,0.00000,0.00990,10.40146,0.00000,0.00000,0,-39.53811,0.00584,3,artifacts\btc_crypto_breakout_reclaim__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\btc_crypto_breakout_reclaim__5m_us_5m_us_symbol_candidate_analysis.txt
crypto_volatility_expansion__5m_us,Crypto volatility expansion [5m_us],single,-921.89308,16,6.25000,0.02709,0.96195,30.51858,-57.61832,25.66486,-63.17053,0.40628,9.62500,structure_exit,43.75000,1,0.00000,0.00000,trend_up_vol_high,-921.89308,trend_up_vol_high,-921.89308,100.00000,,2,0.00000,-156.22460,-145.24907,0.00000,0.09640,-369.69495,-291.28042,0.00000,2,-107.45277,0.19280,3,artifacts\btc_crypto_volatility_expansion__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_expansion__5m_us_5m_us_symbol_candidate_analysis.txt
crypto_volatility_breakout__5m_us,24/7 crypto volatility breakout [5m_us],single,-618.80876,17,11.76471,0.06244,0.65977,32.36996,-36.40052,20.60658,-44.00146,0.46832,7.41176,signal_exit,70.58824,1,0.00000,0.00000,trend_up_vol_mid,-9.04842,trend_up_vol_high,-567.00551,76.47059,,2,0.00000,-150.09753,-93.33471,0.00000,0.17850,-195.31827,-263.62845,0.00000,2,-96.99529,0.20924,4,artifacts\btc_crypto_volatility_breakout__5m_us_5m_us_symbol_candidate_trades.csv,artifacts\btc_crypto_volatility_breakout__5m_us_5m_us_symbol_candidate_analysis.txt
crypto_trend_pullback__5m_us__exit_trend,Crypto trend pullback continuation [5m_us] with trend-runner exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\btc_crypto_trend_pullback__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\btc_crypto_trend_pullback__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
crypto_trend_pullback__5m_us__exit_fastfail,Crypto trend pullback continuation [5m_us] with fast-fail exits,entry_exit_family,0.00000,0,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,,0.00000,1,0.00000,0.00000,,0.00000,,0.00000,0.00000,,2,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0,0.00000,0.00000,0,artifacts\btc_crypto_trend_pullback__5m_us__exit_fastfail_5m_us_symbol_candidate_trades.csv,artifacts\btc_crypto_trend_pullback__5m_us__exit_fastfail_5m_us_symbol_candidate_analysis.txt
crypto_breakout_reclaim__5m_us__exit_trend,Crypto breakout reclaim [5m_us] with trend-runner exits,entry_exit_family,-84.32556,7,57.14286,0.17186,0.11384,13.71818,-12.04651,4.37483,-33.94162,0.12889,9.42857,trailing_stop,71.42857,1,0.00000,0.00000,trend_up_vol_mid,11.90433,trend_up_vol_high,-96.22989,57.14286,,2,0.00000,-5.45677,-27.96341,0.00000,0.00990,-6.99632,0.00000,0.00000,0,-39.53811,0.00584,3,artifacts\btc_crypto_breakout_reclaim__5m_us__exit_trend_5m_us_symbol_candidate_trades.csv,artifacts\btc_crypto_breakout_reclaim__5m_us__exit_trend_5m_us_symbol_candidate_analysis.txt
